, ,Number of genomes
1111,Cluster 1111,24
1112,Cluster 1112,2
1113,Cluster 1113,2
1114,Cluster 1114,1319
1115,Cluster 1115,4
1116,Cluster 1116,1
1117,Cluster 1117,1327
1118,Cluster 1118,2
1119,Cluster 1119,4
1120,Cluster 1120,127
1121,Cluster 1121,2
1122,Cluster 1122,2
1123,Cluster 1123,3
1124,Cluster 1124,394
1125,Cluster 1125,2
1126,Cluster 1126,2
1127,Cluster 1127,623
1128,Cluster 1128,6
1129,Cluster 1129,2
1130,Cluster 1130,1316
1131,Cluster 1131,448
1132,Cluster 1132,1
1133,Cluster 1133,3
1134,Cluster 1134,26
1135,Cluster 1135,2
1136,Cluster 1136,1
1137,Cluster 1137,1320
1138,Cluster 1138,2
1139,Cluster 1139,2
1140,Cluster 1140,89
1141,Cluster 1141,1
1142,Cluster 1142,1318
1143,Cluster 1143,101
1144,Cluster 1144,1301
1145,Cluster 1145,53
1146,Cluster 1146,2
1147,Cluster 1147,19
1148,Cluster 1148,11
1149,Cluster 1149,2
1150,Cluster 1150,17
1151,Cluster 1151,1
1152,Cluster 1152,5
1153,Cluster 1153,4
1154,Cluster 1154,557
1155,Cluster 1155,1281
1156,Cluster 1156,1326
1157,Cluster 1157,3
1158,Cluster 1158,4
1159,Cluster 1159,1292
1160,Cluster 1160,2
1161,Cluster 1161,2
1162,Cluster 1162,3
1163,Cluster 1163,3
1164,Cluster 1164,419
1165,Cluster 1165,76
1166,Cluster 1166,1314
1167,Cluster 1167,6
1168,Cluster 1168,12
1169,Cluster 1169,2
1170,Cluster 1170,4
1171,Cluster 1171,1
1172,Cluster 1172,5
1173,Cluster 1173,2
1174,Cluster 1174,1
1175,Cluster 1175,6
1176,Cluster 1176,2
1177,Cluster 1177,201
1178,Cluster 1178,3
1179,Cluster 1179,3
1180,Cluster 1180,2
1181,Cluster 1181,22
1182,Cluster 1182,1
1183,Cluster 1183,2
1184,Cluster 1184,1326
1185,Cluster 1185,15
1186,Cluster 1186,1
1187,Cluster 1187,1317
1188,Cluster 1188,583
1189,Cluster 1189,2
1190,Cluster 1190,11
1191,Cluster 1191,4
1192,Cluster 1192,4
1193,Cluster 1193,4
1194,Cluster 1194,1325
1195,Cluster 1195,2
1196,Cluster 1196,1
1197,Cluster 1197,4
1198,Cluster 1198,57
1199,Cluster 1199,2
1200,Cluster 1200,2
1201,Cluster 1201,39
1202,Cluster 1202,1
1203,Cluster 1203,4
1204,Cluster 1204,26
1205,Cluster 1205,2
1206,Cluster 1206,1
1207,Cluster 1207,10
1208,Cluster 1208,4
1209,Cluster 1209,4
1210,Cluster 1210,2
1211,Cluster 1211,147
1212,Cluster 1212,1326
1213,Cluster 1213,6
1214,Cluster 1214,4
1215,Cluster 1215,1
1216,Cluster 1216,1
1217,Cluster 1217,3
