, ,Number of genomes
1137,Cluster 1137,1
1138,Cluster 1138,2
1139,Cluster 1139,16
1140,Cluster 1140,580
1141,Cluster 1141,1
1142,Cluster 1142,1
1143,Cluster 1143,7
1144,Cluster 1144,135
1145,Cluster 1145,1
1146,Cluster 1146,2
1147,Cluster 1147,1
1148,Cluster 1148,1
1149,Cluster 1149,595
1150,Cluster 1150,5
1151,Cluster 1151,2
1152,Cluster 1152,1
1153,Cluster 1153,3
1154,Cluster 1154,595
1155,Cluster 1155,594
1156,Cluster 1156,2
1157,Cluster 1157,35
1158,Cluster 1158,591
1159,Cluster 1159,1
1160,Cluster 1160,546
1161,Cluster 1161,8
1162,Cluster 1162,27
1163,Cluster 1163,3
1164,Cluster 1164,1
1165,Cluster 1165,3
1166,Cluster 1166,595
1167,Cluster 1167,1
1168,Cluster 1168,562
1169,Cluster 1169,26
1170,Cluster 1170,1
1171,Cluster 1171,2
1172,Cluster 1172,589
1173,Cluster 1173,4
1174,Cluster 1174,1
1175,Cluster 1175,4
1176,Cluster 1176,594
1177,Cluster 1177,29
1178,Cluster 1178,2
1179,Cluster 1179,3
1180,Cluster 1180,1
1181,Cluster 1181,592
1182,Cluster 1182,559
1183,Cluster 1183,15
1184,Cluster 1184,14
1185,Cluster 1185,528
1186,Cluster 1186,127
1187,Cluster 1187,5
1188,Cluster 1188,594
1189,Cluster 1189,19
1190,Cluster 1190,5
1191,Cluster 1191,2
1192,Cluster 1192,1
1193,Cluster 1193,8
1194,Cluster 1194,10
1195,Cluster 1195,13
1196,Cluster 1196,2
1197,Cluster 1197,571
1198,Cluster 1198,588
1199,Cluster 1199,2
1200,Cluster 1200,1
1201,Cluster 1201,1
1202,Cluster 1202,591
1203,Cluster 1203,2
1204,Cluster 1204,1
1205,Cluster 1205,1
1206,Cluster 1206,3
1207,Cluster 1207,1
1208,Cluster 1208,576
1209,Cluster 1209,573
1210,Cluster 1210,589
1211,Cluster 1211,2
1212,Cluster 1212,1
1213,Cluster 1213,1
1214,Cluster 1214,594
1215,Cluster 1215,2
1216,Cluster 1216,1
1217,Cluster 1217,182
1218,Cluster 1218,2
1219,Cluster 1219,65
1220,Cluster 1220,1
1221,Cluster 1221,3
1222,Cluster 1222,40
1223,Cluster 1223,28
1224,Cluster 1224,137
1225,Cluster 1225,12
